No,エリア,都道府県,緯度,経度,半径(m),対象地域,エリアコード,分析粒度,丁目数,人口,世帯数,0-4歳_男性,0-4歳_女性,0-4歳_合計,0-4歳_商圏内比率(%),0-4歳_都府県比率(%),0-4歳_全国比率(%),5-9歳_男性,5-9歳_女性,5-9歳_合計,5-9歳_商圏内比率(%),5-9歳_都府県比率(%),5-9歳_全国比率(%),10-14歳_男性,10-14歳_女性,10-14歳_合計,10-14歳_商圏内比率(%),10-14歳_都府県比率(%),10-14歳_全国比率(%),15-19歳_男性,15-19歳_女性,15-19歳_合計,15-19歳_商圏内比率(%),15-19歳_都府県比率(%),15-19歳_全国比率(%),20-24歳_男性,20-24歳_女性,20-24歳_合計,20-24歳_商圏内比率(%),20-24歳_都府県比率(%),20-24歳_全国比率(%),25-29歳_男性,25-29歳_女性,25-29歳_合計,25-29歳_商圏内比率(%),25-29歳_都府県比率(%),25-29歳_全国比率(%),30-34歳_男性,30-34歳_女性,30-34歳_合計,30-34歳_商圏内比率(%),30-34歳_都府県比率(%),30-34歳_全国比率(%),35-39歳_男性,35-39歳_女性,35-39歳_合計,35-39歳_商圏内比率(%),35-39歳_都府県比率(%),35-39歳_全国比率(%),40-44歳_男性,40-44歳_女性,40-44歳_合計,40-44歳_商圏内比率(%),40-44歳_都府県比率(%),40-44歳_全国比率(%),45-49歳_男性,45-49歳_女性,45-49歳_合計,45-49歳_商圏内比率(%),45-49歳_都府県比率(%),45-49歳_全国比率(%),50-54歳_男性,50-54歳_女性,50-54歳_合計,50-54歳_商圏内比率(%),50-54歳_都府県比率(%),50-54歳_全国比率(%),55-59歳_男性,55-59歳_女性,55-59歳_合計,55-59歳_商圏内比率(%),55-59歳_都府県比率(%),55-59歳_全国比率(%),60-64歳_男性,60-64歳_女性,60-64歳_合計,60-64歳_商圏内比率(%),60-64歳_都府県比率(%),60-64歳_全国比率(%),65-69歳_男性,65-69歳_女性,65-69歳_合計,65-69歳_商圏内比率(%),65-69歳_都府県比率(%),65-69歳_全国比率(%),70-74歳_男性,70-74歳_女性,70-74歳_合計,70-74歳_商圏内比率(%),70-74歳_都府県比率(%),70-74歳_全国比率(%),75歳以上_男性,75歳以上_女性,75歳以上_合計,75歳以上_商圏内比率(%),75歳以上_都府県比率(%),75歳以上_全国比率(%),一般世帯総数,1人世帯,1人世帯(%),2人世帯,2人世帯(%),3人世帯,3人世帯(%),4人世帯,4人世帯(%),5人以上世帯,5人以上世帯(%),親族世帯,親族世帯(%),親族世帯_都府県(%),核家族世帯,核家族世帯(%),核家族世帯_都府県(%),夫婦のみ世帯,夫婦のみ世帯(%),夫婦のみ世帯_都府県(%),夫婦と子供世帯,夫婦と子供世帯(%),夫婦と子供世帯_都府県(%),核家族以外世帯,核家族以外世帯(%),核家族以外世帯_都府県(%),65歳以上世帯員のいる世帯,65歳以上世帯員のいる世帯(%),年少人口(15歳未満),年少人口_商圏内(%),年少人口_都府県(%),年少人口_全国(%),労働人口(15-64歳),労働人口_商圏内(%),労働人口_都府県(%),労働人口_全国(%),老齢人口(65歳以上),老齢人口_商圏内(%),老齢人口_都府県(%),老齢人口_全国(%),人口_商圏内,人口_都府県,人口_全国,対象地域世帯総数,100万円未満_世帯数,100万円未満_商圏内比率(%),100万円未満_都府県比率(%),100万円未満_全国比率(%),100~200万円_世帯数,100~200万円_商圏内比率(%),100~200万円_都府県比率(%),100~200万円_全国比率(%),200~300万円_世帯数,200~300万円_商圏内比率(%),200~300万円_都府県比率(%),200~300万円_全国比率(%),300~400万円_世帯数,300~400万円_商圏内比率(%),300~400万円_都府県比率(%),300~400万円_全国比率(%),400~500万円_世帯数,400~500万円_商圏内比率(%),400~500万円_都府県比率(%),400~500万円_全国比率(%),500~700万円_世帯数,500~700万円_商圏内比率(%),500~700万円_都府県比率(%),500~700万円_全国比率(%),700~1000万円_世帯数,700~1000万円_商圏内比率(%),700~1000万円_都府県比率(%),700~1000万円_全国比率(%),1000~1500万円_世帯数,1000~1500万円_商圏内比率(%),1000~1500万円_都府県比率(%),1000~1500万円_全国比率(%),1500万円以上_世帯数,1500万円以上_商圏内比率(%),1500万円以上_都府県比率(%),1500万円以上_全国比率(%),住宅世帯総数,持ち家,持ち家_商圏内(%),持ち家_都府県(%),持ち家_全国(%),民営借家,民営借家_商圏内(%),民営借家_都府県(%),民営借家_全国(%),その他(借家等),その他_商圏内(%),公営・公団_都府県(%),公営・公団_全国(%),給与住宅_都府県(%),給与住宅_全国(%),間借り_都府県(%),間借り_全国(%),丁目名_リスト
1,中野,東京都,35.70314,139.6634,1220,中野区・杉並区,"13114,13115",丁目,33,173428,110241,2632,2621,5253,3.03,3.83,3.85,2214,2226,4440,2.56,3.91,4.34,1917,1808,3725,2.15,3.77,4.57,2268,2337,4605,2.66,4.0,4.79,5422,5668,11090,6.39,5.87,5.06,8967,8099,17066,9.84,6.7,5.15,8516,7335,15851,9.14,6.74,5.53,8323,6555,14878,8.58,7.18,6.24,7344,6249,13593,7.84,7.61,7.07,6977,6354,13331,7.69,8.48,8.23,6060,5436,11496,6.63,7.64,7.29,4992,4598,9590,5.53,6.4,6.63,3617,3552,7169,4.13,5.07,6.23,3293,3358,6651,3.84,4.98,6.89,3619,4065,7684,4.43,5.76,7.69,5934,9938,15872,9.15,12.08,10.43,110241,73571,66.74,20298,18.41,9423,8.55,5624,5.1,1097,1.0,35144,31.88,48.59,32827,29.78,45.72,14036,12.73,16.42,13876,12.59,22.01,2317,2.1,2.86,21983,19.94,13418,8.27,11.5,12.76,118669,73.12,65.68,62.22,30207,18.61,22.82,25.01,162294,13618855,117193175,201660,12480,6.19,4.81,5.87,22390,11.1,9.79,12.14,29340,14.55,13.94,16.18,25510,12.65,13.21,14.26,20210,10.02,11.33,11.59,22000,10.91,13.78,14.67,20550,10.19,11.7,10.81,11570,5.74,6.95,4.94,5300,2.63,3.13,1.71,109307,33824,30.94,47.04,62.16,68491,62.66,42.59,30.1,6992,6.4,6.58,4.88,3.79,2.86,1.99,1.28,中野三丁目|高円寺南五丁目|高円寺南一丁目|本町六丁目|和田三丁目|中央五丁目|中央四丁目|中野二丁目|中野四丁目|高円寺南四丁目|中野五丁目|和田一丁目|高円寺北一丁目|梅里一丁目|新井一丁目|高円寺南二丁目|本町五丁目|新井二丁目|本町四丁目|中野六丁目|高円寺北二丁目|上高田二丁目|野方一丁目|野方二丁目|中野一丁目|新井五丁目|和田二丁目|大和町一丁目|本町三丁目|新井三丁目|上高田一丁目|中央二丁目|中央三丁目
2,西新宿,東京都,35.69668,139.6838,1220,新宿区・渋谷区・中野区,"13104,13113,13114",丁目,37,174825,114640,2627,2677,5304,3.03,3.83,3.85,2108,2049,4157,2.38,3.91,4.34,1772,1747,3519,2.01,3.77,4.57,1885,1932,3817,2.18,4.0,4.79,5197,5268,10465,5.99,5.87,5.06,8849,8104,16953,9.7,6.7,5.15,8783,7751,16534,9.46,6.74,5.53,8470,6710,15180,8.68,7.18,6.24,7586,6156,13742,7.86,7.61,7.07,7280,6344,13624,7.79,8.48,8.23,6045,5311,11356,6.5,7.64,7.29,4783,4457,9240,5.29,6.4,6.63,3608,3479,7087,4.05,5.07,6.23,3331,3281,6612,3.78,4.98,6.89,3642,3889,7531,4.31,5.76,7.69,5752,9156,14908,8.53,12.08,10.43,114640,78910,68.83,20185,17.61,9035,7.88,5300,4.62,1000,0.87,34108,29.75,48.59,31761,27.7,45.72,13749,11.99,16.42,13088,11.42,22.01,2347,2.05,2.86,21396,18.66,12980,8.11,11.5,12.76,117998,73.74,65.68,62.22,29051,18.15,22.82,25.01,160029,13618855,117193175,213510,15780,7.39,4.81,5.87,20190,9.46,9.79,12.14,25270,11.84,13.94,16.18,24400,11.43,13.21,14.26,20440,9.57,11.33,11.59,21910,10.26,13.78,14.67,18300,8.57,11.7,10.81,12250,5.74,6.95,4.94,6690,3.13,3.13,1.71,113845,36154,31.76,47.04,62.16,70815,62.2,42.59,30.1,6876,6.04,6.58,4.88,3.79,2.86,1.99,1.28,中央一丁目|中央二丁目|本町一丁目|北新宿二丁目|西新宿五丁目|本町二丁目|弥生町一丁目|本町三丁目|本町三丁目|西新宿六丁目|中央三丁目|本町四丁目|弥生町二丁目|本町四丁目|西新宿四丁目|東中野四丁目|東中野二丁目|東中野一丁目|西新宿八丁目|北新宿一丁目|中野一丁目|弥生町四丁目|西新宿一丁目|西新宿二丁目|百人町二丁目|北新宿三丁目|中野六丁目|東中野五丁目|本町二丁目|東中野三丁目|本町五丁目|西新宿七丁目|百人町一丁目|中央四丁目|北新宿四丁目|南台一丁目|弥生町三丁目
3,方南町,東京都,35.68434,139.6676,1220,渋谷区・中野区・杉並区,"13113,13114,13115",丁目,34,181722,112008,3060,2966,6026,3.32,3.83,3.85,2638,2529,5167,2.84,3.91,4.34,2243,2188,4431,2.44,3.77,4.57,2297,2334,4631,2.55,4.0,4.79,4937,5258,10195,5.61,5.87,5.06,7905,8032,15937,8.77,6.7,5.15,8082,7773,15855,8.72,6.74,5.53,7883,7224,15107,8.31,7.18,6.24,7540,6956,14496,7.98,7.61,7.07,7254,6993,14247,7.84,8.48,8.23,6079,5936,12015,6.61,7.64,7.29,5021,4910,9931,5.46,6.4,6.63,3864,3965,7829,4.31,5.07,6.23,3672,3776,7448,4.1,4.98,6.89,3874,4360,8234,4.53,5.76,7.69,6613,11181,17794,9.79,12.08,10.43,112008,72378,64.62,21020,18.77,10526,9.4,6492,5.8,1318,1.18,37893,33.83,48.59,35337,31.55,45.72,13963,12.47,16.42,15583,13.91,22.01,2556,2.28,2.86,24136,21.55,15624,9.23,11.5,12.76,120243,71.01,65.68,62.22,33476,19.77,22.82,25.01,169343,13618855,117193175,138490,7180,5.18,4.81,5.87,9670,6.98,9.79,12.14,15200,10.98,13.94,16.18,16630,12.01,13.21,14.26,15220,10.99,11.33,11.59,18830,13.6,13.78,14.67,14580,10.53,11.7,10.81,10190,7.36,6.95,4.94,8670,6.26,3.13,1.71,110869,36982,33.36,47.04,62.16,65632,59.2,42.59,30.1,8255,7.45,6.58,4.88,3.79,2.86,1.99,1.28,南台四丁目|南台三丁目|南台二丁目|笹塚三丁目|弥生町六丁目|弥生町五丁目|南台五丁目|弥生町三丁目|南台一丁目|方南二丁目|方南一丁目|幡ケ谷三丁目|弥生町四丁目|本町五丁目|和田二丁目|幡ケ谷二丁目|笹塚一丁目|弥生町二丁目|本町五丁目|本町六丁目|和泉一丁目|本町三丁目|笹塚二丁目|本町六丁目|和田一丁目|幡ケ谷一丁目|堀ノ内一丁目|本町四丁目|堀ノ内二丁目|本町二丁目|和泉四丁目|弥生町一丁目|本町一丁目|本町四丁目
4,両国,東京都,35.69546,139.7978,1220,中央区・台東区・墨田区・江東区,"13102,13106,13107,13108",丁目,71,151370,88250,3290,3120,6410,4.23,3.83,3.85,2546,2427,4973,3.29,3.91,4.34,2185,2017,4202,2.78,3.77,4.57,1917,1847,3764,2.49,4.0,4.79,3476,3866,7342,4.85,5.87,5.06,7850,8094,15944,10.53,6.7,5.15,8144,8110,16254,10.74,6.74,5.53,7473,7176,14649,9.68,7.18,6.24,6901,6803,13704,9.05,7.61,7.07,6969,6794,13763,9.09,8.48,8.23,5814,5275,11089,7.33,7.64,7.29,4510,3973,8483,5.6,6.4,6.63,3390,3054,6444,4.26,5.07,6.23,2828,2813,5641,3.73,4.98,6.89,2974,3203,6177,4.08,5.76,7.69,4617,7230,11847,7.83,12.08,10.43,88250,51932,58.85,19423,22.01,9591,10.87,5901,6.69,1156,1.31,35050,39.72,48.59,33223,37.65,45.72,14182,16.07,16.42,14478,16.41,22.01,1827,2.07,2.86,16920,19.17,15585,10.34,11.5,12.76,111436,73.95,65.68,62.22,23665,15.7,22.82,25.01,150686,13618855,117193175,90360,2610,2.89,4.81,5.87,5260,5.82,9.79,12.14,8820,9.76,13.94,16.18,10390,11.5,13.21,14.26,9890,10.95,11.33,11.59,14510,16.06,13.78,14.67,13540,14.98,11.7,10.81,12480,13.81,6.95,4.94,7960,8.81,3.13,1.71,87699,32037,36.53,47.04,62.16,46262,52.75,42.59,30.1,9400,10.72,6.58,4.88,3.79,2.86,1.99,1.28,亀沢一丁目|横網一丁目|亀沢二丁目|両国四丁目|横網二丁目|両国三丁目|石原二丁目|緑一丁目|亀沢三丁目|緑二丁目|両国二丁目|千歳二丁目|千歳三丁目|石原三丁目|蔵前一丁目|柳橋二丁目|立川二丁目|新大橋二丁目|立川一丁目|石原一丁目|蔵前二丁目|緑三丁目|森下二丁目|本所二丁目|石原四丁目|新大橋三丁目|森下一丁目|菊川一丁目|柳橋一丁目|両国一丁目|本所三丁目|千歳一丁目|東日本橋一丁目|日本橋浜町一丁目|立川三丁目|菊川二丁目|亀沢四丁目|緑四丁目|日本橋浜町二丁目|本所四丁目|浅草橋二丁目|本所一丁目|蔵前四丁目|東駒形一丁目|蔵前三丁目|新大橋一丁目|常盤一丁目|東駒形二丁目|浅草橋一丁目|江東橋一丁目|菊川三丁目|常盤二丁目|森下四丁目|立川四丁目|鳥越二丁目|駒形二丁目|駒形一丁目|錦糸一丁目|東駒形三丁目|東日本橋三丁目|江東橋五丁目|寿三丁目|森下三丁目|太平一丁目|三筋一丁目|日本橋馬喰町一丁目|江東橋二丁目|東日本橋二丁目|日本橋馬喰町二丁目|日本橋浜町三丁目|浅草橋三丁目
5,喜沢,埼玉県,35.81543,139.6948,1220,川口市・蕨市・戸田市,"11203,11223,11224",丁目,40,123910,63373,2462,2262,4724,3.81,3.64,3.85,2441,2385,4826,3.89,4.09,4.34,2230,2132,4362,3.52,4.31,4.57,2348,2208,4556,3.68,4.57,4.79,4148,3980,8128,6.56,5.13,5.06,5089,4800,9889,7.98,5.11,5.15,4760,4487,9247,7.46,5.38,5.53,4638,4191,8829,7.13,6.07,6.24,4744,4180,8924,7.2,6.97,7.07,5226,4698,9924,8.01,8.41,8.23,4670,4287,8957,7.23,7.36,7.29,4102,3626,7728,6.24,6.26,6.63,3293,2905,6198,5.0,5.55,6.23,3172,2905,6077,4.9,6.26,6.89,3202,3332,6534,5.27,7.28,7.69,4926,7383,12309,9.93,13.61,10.43,63373,31449,49.63,14671,23.15,9107,14.37,6332,9.99,1454,2.29,30838,48.66,64.04,28604,45.14,58.57,9883,15.59,20.59,14144,22.32,28.87,2234,3.53,5.47,17643,27.84,13912,11.48,12.04,12.76,82380,67.96,60.81,62.22,24920,20.56,27.14,25.01,121212,7128566,117193175,255890,8160,3.19,4.43,5.87,21620,8.45,9.96,12.14,33820,13.22,15.39,16.18,36990,14.46,14.62,14.26,34520,13.49,12.56,11.59,43150,16.86,16.41,14.67,29200,11.41,12.5,10.81,11920,4.66,5.31,4.94,3230,1.26,1.52,1.71,62894,28863,45.89,66.74,62.16,30021,47.73,27.52,30.1,4010,6.38,3.42,4.88,2.32,2.86,1.29,1.28,中町一丁目|南町二丁目|喜沢一丁目|南町四丁目|中央七丁目|中央二丁目|喜沢二丁目|南町三丁目|下戸田一丁目|西川口一丁目|南町一丁目|西川口二丁目|並木三丁目|塚越四丁目|西川口六丁目|西川口五丁目|下戸田二丁目|中町二丁目|下前一丁目|喜沢南一丁目|中央六丁目|上戸田二丁目|本町一丁目|中央一丁目|喜沢南二丁目|塚越三丁目|西川口三丁目|並木二丁目|塚越一丁目|中央四丁目|下前二丁目|塚越五丁目|川岸二丁目|西川口四丁目|塚越二丁目|並木四丁目|上戸田一丁目|中央三丁目|塚越六丁目|塚越七丁目
6,秋葉原,東京都,35.70194,139.7774,1220,千代田区・中央区・文京区・台東区,"13101,13102,13105,13106",丁目,77,105896,64920,2267,2099,4366,4.12,3.83,3.85,1579,1495,3074,2.9,3.91,4.34,1254,1201,2455,2.32,3.77,4.57,1156,1167,2323,2.19,4.0,4.79,2461,2677,5138,4.85,5.87,5.06,5586,5085,10671,10.08,6.7,5.15,6097,5244,11341,10.71,6.74,5.53,5695,4793,10488,9.9,7.18,6.24,5187,4386,9573,9.04,7.61,7.07,4944,4473,9417,8.89,8.48,8.23,4033,3374,7407,6.99,7.64,7.29,3065,2519,5584,5.27,6.4,6.63,2182,1926,4108,3.88,5.07,6.23,1823,1759,3582,3.38,4.98,6.89,2091,2276,4367,4.12,5.76,7.69,3563,5862,9425,8.9,12.08,10.43,64920,40929,63.05,13213,20.35,6345,9.77,3570,5.5,715,1.1,23114,35.6,48.59,21843,33.65,45.72,9563,14.73,16.42,9120,14.05,22.01,1271,1.96,2.86,12383,19.07,9895,9.58,11.5,12.76,76050,73.61,65.68,62.22,17374,16.82,22.82,25.01,103319,13618855,117193175,35220,2520,7.16,4.81,5.87,2250,6.39,9.79,12.14,2060,5.85,13.94,16.18,3640,10.34,13.21,14.26,3130,8.89,11.33,11.59,5170,14.68,13.78,14.67,4610,13.09,11.7,10.81,4250,12.07,6.95,4.94,5030,14.28,3.13,1.71,63971,25786,40.31,47.04,62.16,31382,49.06,42.59,30.1,6803,10.63,6.58,4.88,3.79,2.86,1.99,1.28,台東一丁目|台東二丁目|神田佐久間町二丁目|浅草橋五丁目|神田佐久間町一丁目|神田佐久間町三丁目|外神田五丁目|台東三丁目|鳥越一丁目|外神田四丁目|神田佐久間町四丁目|外神田六丁目|岩本町三丁目|上野五丁目|台東四丁目|上野三丁目|外神田一丁目|浅草橋四丁目|小島一丁目|外神田二丁目|外神田三丁目|東神田三丁目|神田須田町二丁目|浅草橋三丁目|東神田二丁目|小島二丁目|東上野一丁目|上野一丁目|神田淡路町二丁目|日本橋馬喰町二丁目|元浅草一丁目|東上野二丁目|湯島三丁目|神田須田町一丁目|浅草橋二丁目|鳥越二丁目|浅草橋一丁目|神田駿河台四丁目|三筋一丁目|上野二丁目|三筋二丁目|東神田一丁目|東上野三丁目|湯島一丁目|上野六丁目|蔵前四丁目|岩本町二丁目|上野四丁目|元浅草二丁目|元浅草三丁目|蔵前三丁目|神田淡路町一丁目|湯島二丁目|蔵前二丁目|東上野五丁目|日本橋馬喰町一丁目|岩本町一丁目|日本橋本町四丁目|神田駿河台三丁目|柳橋二丁目|柳橋一丁目|神田駿河台二丁目|神田小川町一丁目|東上野四丁目|東日本橋二丁目|内神田三丁目|元浅草四丁目|湯島四丁目|東上野六丁目|上野七丁目|鍛冶町二丁目|松が谷一丁目|寿一丁目|蔵前一丁目|本郷三丁目|東日本橋三丁目|池之端一丁目
7,落合,東京都,35.71549,139.6795,1220,新宿区・中野区・豊島区,"13104,13114,13116",丁目,40,165089,101911,2693,2558,5251,3.18,3.83,3.85,2266,2246,4512,2.73,3.91,4.34,2023,1894,3917,2.37,3.77,4.57,2278,2303,4581,2.77,4.0,4.79,5298,5388,10686,6.47,5.87,5.06,7833,7275,15108,9.15,6.7,5.15,7444,6644,14088,8.53,6.74,5.53,7412,5991,13403,8.12,7.18,6.24,6776,5664,12440,7.54,7.61,7.07,6702,5960,12662,7.67,8.48,8.23,5835,5182,11017,6.67,7.64,7.29,4837,4510,9347,5.66,6.4,6.63,3837,3576,7413,4.49,5.07,6.23,3574,3397,6971,4.22,4.98,6.89,3862,4057,7919,4.8,5.76,7.69,6136,9990,16126,9.77,12.08,10.43,101911,65816,64.58,19163,18.8,9607,9.43,5914,5.8,1174,1.15,34784,34.13,48.59,32564,31.95,45.72,13251,13.0,16.42,14356,14.09,22.01,2220,2.18,2.86,22454,22.03,13680,8.8,11.5,12.76,110745,71.25,65.68,62.22,31016,19.95,22.82,25.01,155441,13618855,117193175,213510,15780,7.39,4.81,5.87,20190,9.46,9.79,12.14,25270,11.84,13.94,16.18,24400,11.43,13.21,14.26,20440,9.57,11.33,11.59,21910,10.26,13.78,14.67,18300,8.57,11.7,10.81,12250,5.74,6.95,4.94,6690,3.13,3.13,1.71,101399,33803,33.34,47.04,62.16,61089,60.25,42.59,30.1,6507,6.42,6.58,4.88,3.79,2.86,1.99,1.28,上高田四丁目|上高田一丁目|上高田五丁目|上落合三丁目|中井一丁目|上高田三丁目|西落合二丁目|中井二丁目|東中野三丁目|西落合一丁目|中野六丁目|上高田二丁目|中落合四丁目|中落合一丁目|松が丘二丁目|松が丘一丁目|西落合三丁目|上落合二丁目|新井五丁目|新井一丁目|東中野二丁目|南長崎四丁目|中落合三丁目|沼袋一丁目|中野一丁目|東中野五丁目|中野五丁目|南長崎五丁目|西落合四丁目|中落合二丁目|江古田一丁目|沼袋二丁目|新井二丁目|上落合一丁目|東中野一丁目|東中野四丁目|新井三丁目|新井四丁目|南長崎二丁目|南長崎三丁目
8,要町,東京都,35.72784,139.6957,1220,新宿区・豊島区,"13104,13116",丁目,41,152071,92922,2474,2417,4891,3.22,3.83,3.85,2197,2155,4352,2.86,3.91,4.34,2011,1951,3962,2.61,3.77,4.57,2232,2356,4588,3.02,4.0,4.79,5012,5446,10458,6.88,5.87,5.06,7220,7093,14313,9.41,6.7,5.15,6659,6494,13153,8.65,6.74,5.53,6604,5774,12378,8.14,7.18,6.24,6238,5395,11633,7.65,7.61,7.07,6140,5779,11919,7.84,8.48,8.23,5334,5009,10343,6.8,7.64,7.29,4516,4169,8685,5.71,6.4,6.63,3565,3318,6883,4.53,5.07,6.23,3230,3053,6283,4.13,4.98,6.89,3589,3851,7440,4.89,5.76,7.69,5855,9812,15667,10.3,12.08,10.43,92922,59971,64.54,16795,18.07,9152,9.85,5615,6.04,1159,1.25,32089,34.53,48.59,30226,32.53,45.72,11618,12.5,16.42,13670,14.71,22.01,1863,2.0,2.86,21308,22.93,13205,8.99,11.5,12.76,104353,71.01,65.68,62.22,29390,20.0,22.82,25.01,146948,13618855,117193175,213510,15780,7.39,4.81,5.87,20190,9.46,9.79,12.14,25270,11.84,13.94,16.18,24400,11.43,13.21,14.26,20440,9.57,11.33,11.59,21910,10.26,13.78,14.67,18300,8.57,11.7,10.81,12250,5.74,6.95,4.94,6690,3.13,3.13,1.71,92370,31334,33.92,47.04,62.16,53667,58.1,42.59,30.1,7369,7.98,6.58,4.88,3.79,2.86,1.99,1.28,長崎一丁目|目白五丁目|長崎二丁目|西池袋四丁目|千早一丁目|下落合三丁目|南長崎一丁目|下落合四丁目|南長崎二丁目|要町二丁目|西池袋五丁目|長崎三丁目|南長崎三丁目|目白四丁目|中落合三丁目|南長崎四丁目|中落合二丁目|要町一丁目|南長崎五丁目|千早二丁目|西池袋二丁目|長崎四丁目|高松一丁目|中落合四丁目|目白三丁目|千川一丁目|中落合一丁目|長崎五丁目|南池袋一丁目|池袋二丁目|西池袋一丁目|高松二丁目|下落合二丁目|千早三丁目|西落合三丁目|目白二丁目|西落合一丁目|要町三丁目|西池袋三丁目|池袋三丁目|中井二丁目
9,大島,東京都,35.68247,139.8386,1220,江東区・江戸川区,"13108,13123",丁目,30,160565,79127,2979,2840,5819,3.62,3.83,3.85,3132,3050,6182,3.85,3.91,4.34,3151,3007,6158,3.84,3.77,4.57,3083,3113,6196,3.86,4.0,4.79,3776,3813,7589,4.73,5.87,5.06,4337,4332,8669,5.4,6.7,5.15,4735,4699,9434,5.88,6.74,5.53,5456,5022,10478,6.53,7.18,6.24,5878,5514,11392,7.09,7.61,7.07,6999,6610,13609,8.48,8.48,8.23,6345,5936,12281,7.65,7.64,7.29,5254,4935,10189,6.35,6.4,6.63,4542,4400,8942,5.57,5.07,6.23,4803,4915,9718,6.05,4.98,6.89,5375,5883,11258,7.01,5.76,7.69,8564,12967,21531,13.41,12.08,10.43,79127,35019,44.26,21183,26.77,12436,15.72,8306,10.5,1786,2.26,43444,54.9,48.59,40893,51.68,45.72,14136,17.86,16.42,19031,24.05,22.01,2551,3.22,2.86,30838,38.97,18159,11.39,11.5,12.76,98779,61.95,65.68,62.22,42507,26.66,22.82,25.01,159445,13618855,117193175,253970,11350,4.47,4.81,5.87,25610,10.08,9.79,12.14,33980,13.38,13.94,16.18,32820,12.92,13.21,14.26,28410,11.19,11.33,11.59,37740,14.86,13.78,14.67,35950,14.16,11.7,10.81,23060,9.08,6.95,4.94,9340,3.68,3.13,1.71,78433,36315,46.3,47.04,62.16,18938,24.15,42.59,30.1,23180,29.55,6.58,4.88,3.79,2.86,1.99,1.28,東砂一丁目|北砂六丁目|北砂七丁目|大島八丁目|北砂五丁目|大島五丁目|北砂三丁目|北砂四丁目|東砂七丁目|東砂四丁目|大島七丁目|大島九丁目|東砂二丁目|大島四丁目|大島三丁目|南砂五丁目|東砂三丁目|北砂二丁目|小松川一丁目|船堀二丁目|北葛西二丁目|東砂五丁目|南砂四丁目|南砂六丁目|北葛西一丁目|大島一丁目|西葛西一丁目|南砂一丁目|大島六丁目|東砂六丁目
10,巣鴨,東京都,35.73372,139.7323,1220,文京区・豊島区・北区,"13105,13116,13117",丁目,43,188744,109635,3491,3473,6964,3.69,3.83,3.85,3240,3067,6307,3.34,3.91,4.34,2771,2688,5459,2.89,3.77,4.57,2868,3064,5932,3.14,4.0,4.79,6326,6565,12891,6.83,5.87,5.06,8148,8264,16412,8.7,6.7,5.15,8020,7750,15770,8.36,6.74,5.53,7663,7232,14895,7.89,7.18,6.24,7682,7076,14758,7.82,7.61,7.07,7581,7369,14950,7.92,8.48,8.23,6621,6363,12984,6.88,7.64,7.29,5601,5325,10926,5.79,6.4,6.63,4484,4397,8881,4.71,5.07,6.23,4307,4168,8475,4.49,4.98,6.89,4543,4905,9448,5.01,5.76,7.69,7039,11824,18863,9.99,12.08,10.43,109635,65701,59.93,22094,20.15,12230,11.16,7829,7.14,1505,1.37,42754,39.0,48.59,40225,36.69,45.72,15366,14.02,16.42,18620,16.98,22.01,2529,2.31,2.86,27111,24.73,18730,10.18,11.5,12.76,128399,69.81,65.68,62.22,36786,20.0,22.82,25.01,183915,13618855,117193175,125450,7960,6.35,4.81,5.87,9640,7.68,9.79,12.14,13320,10.62,13.94,16.18,14660,11.69,13.21,14.26,14090,11.23,11.33,11.59,16100,12.83,13.78,14.67,16040,12.79,11.7,10.81,12590,10.04,6.95,4.94,9520,7.59,3.13,1.71,108648,39470,36.33,47.04,62.16,58556,53.9,42.59,30.1,10622,9.78,6.58,4.88,3.79,2.86,1.99,1.28,北大塚一丁目|北大塚二丁目|巣鴨四丁目|巣鴨三丁目|南大塚一丁目|巣鴨二丁目|北大塚三丁目|千石四丁目|駒込五丁目|西巣鴨三丁目|千石三丁目|西巣鴨二丁目|東池袋五丁目|巣鴨五丁目|東池袋二丁目|南大塚三丁目|南大塚二丁目|大塚四丁目|大塚六丁目|駒込七丁目|大塚五丁目|西巣鴨一丁目|東池袋四丁目|駒込六丁目|上池袋一丁目|巣鴨一丁目|上池袋四丁目|本駒込二丁目|駒込四丁目|本駒込六丁目|駒込一丁目|千石一丁目|駒込三丁目|西ヶ原一丁目|滝野川六丁目|西ヶ原四丁目|東池袋三丁目|千石二丁目|西巣鴨四丁目|上池袋二丁目|上池袋三丁目|西ヶ原三丁目|滝野川七丁目
